,Predicted,Observed
0,33.79656982421875,37.80799865722656
1,33.003387451171875,33.63299560546875
2,36.787628173828125,33.53300094604492
3,36.29143142700195,28.768999099731445
4,32.99912643432617,26.718000411987305
5,31.24246597290039,38.672000885009766
6,36.51593017578125,38.73099899291992
7,36.72236251831055,31.047998428344727
8,36.117576599121094,39.09199905395508
9,36.52626037597656,36.188995361328125
10,36.455711364746094,34.80699920654297
11,35.54424285888672,34.04100036621094
12,35.932559967041016,37.16899871826172
13,36.18367004394531,36.52000045776367
14,36.23581314086914,31.39699935913086
15,35.85395431518555,30.045000076293945
16,34.78868103027344,32.6515007019043
17,35.15596389770508,36.45800018310547
18,35.80757141113281,36.45800018310547
19,35.4838981628418,32.301998138427734
20,33.89838409423828,30.426002502441406
21,35.38681411743164,34.02399826049805
22,35.58282470703125,34.159000396728516
23,36.16041564941406,33.07600021362305
24,35.149574279785156,33.57199478149414
25,35.5575065612793,30.5310001373291
26,34.645809173583984,32.04100036621094
27,35.92622375488281,33.47999954223633
28,35.629173278808594,30.618999481201172
29,34.11593246459961,31.615999221801758
30,33.820186614990234,34.124000549316406
31,34.89662551879883,31.035999298095703
32,34.76637649536133,24.719999313354492
33,28.653886795043945,28.902000427246094
34,25.155014038085938,35.505001068115234
35,36.120914459228516,37.36800003051758
36,35.743072509765625,36.242000579833984
37,36.258644104003906,33.99300003051758
38,35.32518005371094,38.702999114990234
39,35.93465805053711,36.66400146484375
40,35.686946868896484,36.01900100708008
41,35.314796447753906,36.288997650146484
42,36.13790512084961,36.28399658203125
43,36.49163055419922,33.65700149536133
44,35.609703063964844,35.48799514770508
45,36.15194320678711,35.34199905395508
46,34.975257873535156,37.3390007019043
47,36.272823333740234,36.22699737548828
48,35.644432067871094,36.47499465942383
49,35.876243591308594,34.27099609375
50,36.1512451171875,37.8589973449707
51,35.71963119506836,35.65299606323242
52,35.249080657958984,33.128997802734375
53,34.355712890625,31.621000289916992
54,34.435523986816406,34.90299987792969
55,35.48880386352539,33.08100128173828
56,34.31496810913086,34.97199630737305
57,35.11549377441406,34.95600128173828
58,34.270591735839844,33.477996826171875
59,33.735633850097656,33.875
60,33.71706771850586,32.16299819946289
61,33.050907135009766,31.70599937438965
62,33.78968811035156,35.220001220703125
63,34.55967330932617,35.45100021362305
64,34.56558609008789,34.87099838256836
65,34.96686935424805,41.25199890136719
66,36.462398529052734,35.73099899291992
67,35.56878662109375,36.15700149536133
68,35.09119415283203,35.20899963378906
69,36.052860260009766,34.73899841308594
70,35.19113540649414,34.883995056152344
71,35.71022033691406,33.59400177001953
72,34.834442138671875,33.758995056152344
73,34.85554122924805,33.00899887084961
74,34.81759262084961,34.43799591064453
75,35.155155181884766,34.61899948120117
76,35.14739990234375,34.60300064086914
77,35.558128356933594,33.96099853515625
78,34.83341979980469,31.545001983642578
79,34.55075454711914,31.69099998474121
80,34.54678726196289,33.04499816894531
81,35.01984405517578,31.99100112915039
82,34.349143981933594,33.63999938964844
83,35.26477813720703,33.89899826049805
84,35.16984558105469,35.13899612426758
85,35.8420524597168,40.36000061035156
86,36.407470703125,43.612003326416016
87,36.964656829833984,43.34000015258789
88,36.38017654418945,42.6150016784668
89,36.535160064697266,44.707000732421875
90,36.910987854003906,43.152000427246094
91,36.392948150634766,39.55400085449219
92,35.9027099609375,42.98099899291992
93,36.959251403808594,43.04899978637695
94,36.93757247924805,43.24399948120117
95,36.826194763183594,43.24399948120117
96,36.04702377319336,43.73099899291992
97,36.367584228515625,41.664005279541016
98,35.97859573364258,39.35600280761719
99,34.89414596557617,42.926998138427734
100,35.635746002197266,41.6619987487793
101,35.178436279296875,42.280494689941406
102,35.18540573120117,42.89899826049805
103,35.5594367980957,41.347999572753906
104,34.809085845947266,41.39099884033203
105,34.31010437011719,41.81499481201172
106,34.58829879760742,41.20999526977539
107,33.71162033081055,44.117000579833984
108,34.86337661743164,38.244998931884766
109,33.78178787231445,39.632999420166016
110,34.08769607543945,41.6870002746582
111,34.116127014160156,40.07500076293945
112,34.45694351196289,41.66600036621094
113,33.70301055908203,38.43899917602539
114,33.755367279052734,38.21799850463867
115,33.31193161010742,39.44200134277344
116,33.95793151855469,38.973995208740234
117,37.510032653808594,38.999000549316406
118,37.2070426940918,40.665000915527344
119,38.413917541503906,37.66899871826172
120,36.77895736694336,39.13600540161133
121,37.94475555419922,42.05099868774414
122,39.48291778564453,39.27199935913086
123,37.871788024902344,39.82400131225586
